c_custkey,c_name,c_address,c_nationkey,c_phone,c_comment
7,Customer#000000007,TcGe5gaZNgVePxU5kRrvXBfkasDTea,18,28-190-982-9759,"ainst the ironic, express theodolites. express, even pinto beans among the exp"
19,Customer#000000019,"uc,3bHIx84H,wdrmLOjVsiqXCq2tr",18,28-396-526-5053, nag. furiously careful packages are slyly at the accounts. furiously regular in
75,Customer#000000075,"Dh 6jZ,cwxWLKQfRKkiGrzv6pm",18,28-247-803-9025," instructions cajole even, even deposits. finally bold deposits use above the even pains. slyl"
82,Customer#000000082,"zhG3EZbap4c992Gj3bK,3Ne,Xn",18,28-159-442-5305,s wake. bravely regular accounts are furiously. regula
118,Customer#000000118,OVnFuHygK9wx3xpg8,18,28-639-943-7051,uick packages alongside of the furiously final deposits haggle above the fluffily even foxes. blithely dogged dep
124,Customer#000000124,"aTbyVAW5tCd,v09O",18,28-183-750-7809,le fluffily even dependencies. quietly s
147,Customer#000000147,"6VvIwbVdmcsMzuu,C84GtBWPaipGfi7DV",18,28-803-187-4335,ress packages above the blithely regular packages sleep fluffily blithely ironic accounts. 
150,Customer#000000150,zeoGShTjCwGPplOWFkLURrh41O0AZ8dwNEEN4 ,18,28-328-564-7630,ole blithely among the furiously pending packages. furiously bold ideas wake fluffily ironic idea
169,Customer#000000169,NjhmHa7xrcjE,18,28-362-499-3728,fully unusual pinto beans. blithely express asymptotes lose carefully regular instructions? accounts b
196,Customer#000000196,68RstNo6a2B,18,28-135-177-2472,accounts wake. express instructions according to the s
234,Customer#000000234,ILyuJbixVmrNEVxsfQOMFxByySs,18,28-243-424-1393, fluffily regular ideas play s
282,Customer#000000282,"wcCc, y1996DnOwnXu1i",18,28-251-599-2415,ole daringly against the carefully ir
294,Customer#000000294,hSaNqI1P2IyEFHY0r0PsPkMqt,18,28-187-946-4260,"bold packages. regular, final asymptotes use quickly fluffily even waters. blithely express requests wake into th"
323,Customer#000000323,"ZLnVZ CXRi2,QDrlo",18,28-347-223-6024,"ely special foxes. express, final excuses across the packages are quickly amon"
342,Customer#000000342,SpDDdUfraEAfCULAuGLE,18,28-690-119-9571,luffily final ideas. finally unusual requests boost slyly above the furio
357,Customer#000000357,l2C0Xkdib4t4 qKFUcRDOhRQMK7U0,18,28-452-965-8560,ress platelets cajole fluffily final accounts: slyly ironic foxes s
387,Customer#000000387,Yj 9g1mNu00rKRkc1ovOmptsPI,18,28-694-363-3673,oach. blithely regular instructions sublate across the quickly regular ideas. qui
411,Customer#000000411,"V3e,FX5x50scsQDzt5,ESxfOQBt4OzjHRoTZxF",18,28-483-924-1955,refully. slyly even packages above the evenly regular asymptotes are blithely ironic dependencies. deposi
479,Customer#000000479,RdIiG8NbwYtamReRwhR,18,28-336-406-1631,ages. bravely even foxes detect careful
508,Customer#000000508,q9Vq9 nTrUvx,18,28-344-250-3166,uses dazzle since the carefully regular accounts. patterns around the furiously even accounts wake blithely abov
561,Customer#000000561,"Z1kPCTbeTqGfdly2Ab9KEdE,jIKW",18,28-286-185-3047,across the furiously ironic theodolites. final requests cajole. slowly unusual foxes haggle carefully
614,Customer#000000614,YKweqHJfVok,18,28-698-510-6194,y even multipliers. pinto beans nag busily after the busily ironic reques
644,Customer#000000644,"bfZrdZE0QHtMc,ksudO",18,28-489-845-4801,"ke slyly alongside of the silent, even req"
672,Customer#000000672,"Rsq8zHIbqRRB8VlgldFlU56j,0SN ",18,28-774-971-2700,"ake. regular requests about the idle asymptotes haggle slyly final, silent packages. carefully special"
705,Customer#000000705,YKdZRFEGcclF6rmdoiNCY8,18,28-991-405-7914,"s pinto beans sleep busily. ironic, bold theo"
709,Customer#000000709,drDnC6YXTJgcdfJkpbhrQ7z7XmCsoym2t22jwg,18,28-117-812-5493,g the blithely ironic multipliers sleep a
727,Customer#000000727,wLIX8hKnk0qjUAAGqm,18,28-815-316-3525, requests-- quickly regular pinto beans need to detect 
734,Customer#000000734,xULRxhbfzPT5nBh,18,28-880-175-5173,"tions against the ideas haggle furiously quickly regular forges. carefully final requests solve even,"
737,Customer#000000737,NdjG1k243iCLSoy1lYqMIrpvuH1Uf75,18,28-658-938-1102,ding to the final platelets. regular packages against the carefully final ideas hag
745,Customer#000000745,vjuHvDKdaomsivy l,18,28-913-438-9403,"o beans. bold, regular theodolites haggle carefully about the quickl"
768,Customer#000000768," ,cIZ,06Kg",18,28-851-493-8588,to cajole blithely express asymptotes. foxes use quickly. carefully special ideas could have to are bravely bl
