c_custkey,c_name,c_address,c_nationkey,c_phone,c_comment
11,Customer#000000011,PkWS 3HlXqwTuzrKg633BEi,23,33-464-151-3439,ckages. requests sleep slyly. quickly even pinto beans promise above the slyly regular pinto beans. 
15,Customer#000000015,"YtWggXoOLdwdo7b0y,BZaGUQMLJMX1Y,EC,6Dn",23,33-687-542-7601, platelets. regular deposits detect asymptotes. blithely unusual packages nag slyly at the fluf
31,Customer#000000031,LUACbO0viaAv6eXOAebryDB xjVst,23,33-197-837-7094,s use among the blithely pending depo
65,Customer#000000065,"RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X",23,33-733-623-5267,y final foxes serve carefully. theodolites are carefully. pending i
87,Customer#000000087,hgGhHVSWQl 6jZ6Ev,23,33-869-884-7053,hely ironic requests integrate according to the ironic accounts. slyly regular pla
174,Customer#000000174,R5 fCPMSeDXtUpp5Ax,23,33-845-455-8799,oldly even requests haggle quickly blithely ironic accounts. idly final foxes doze slyly pending dep
193,Customer#000000193,"dUT4dtsPTZ6ZpkWLc,KGJCHY6JDJgPFH4",23,33-182-978-6287,y even theodolites. final foxes print along the final pinto beans. theodoli
217,Customer#000000217,YIy05RMdthrXqdfnNKud,23,33-159-298-3849,ven frays wake according to the carefully 
277,Customer#000000277,BWGsQevHk0BfRJV3RRB ElFc,23,33-696-831-5394,"phins; bold, final accounts print. carefully silent "
311,Customer#000000311,dvpNARle3mR19GD4s2gpEbkL2mZV3uvV6P,23,33-919-292-8822,essly even escapades. blithely regular Tiresias cajole blithely furiously close packages. furiously ironic pi
338,Customer#000000338, aiYAeWgI0okGSJv7OgvKqMvPLhxF3blT8josX,23,33-302-620-7535,ckages nag blithely regular requests: carefully final packages between the slyly regular instructions sleep 
349,Customer#000000349,"vjJBjxjW9uoRZP02nS p6XY5wU6Ic,6xHpxUKA",23,33-818-229-3473,"y. bold, ironic instructions after the theodolites sleep blithely ironic packages. ideas c"
364,Customer#000000364,"SQ3b5Q5OtrmmZjJ87tq,o1TiXKVJQ0M7ZOuud",23,33-492-647-4972, dependencies? pending requests use carefull
377,Customer#000000377,"PA4levhyD,Rvr0JHQ4QNOqJ9gW YXE",23,33-260-610-4079,. slyly regular ideas cajole blithely. slyly ironic foxes are carefully after the thinly special accou
394,Customer#000000394,"nxW1jt,MQvImdr z72gAt1bslnfEipCh,bKZN",23,33-422-600-6936, instructions. carefully special ideas after the fluffily unusual r
415,Customer#000000415,"334jCRiUb,gx3",23,33-346-876-2972,egular deposits. blithely ironic inst
432,Customer#000000432,FDConiq g20GI9dH QTM ZNX4OB9KU,23,33-307-912-9016,"wake carefully close, special deposits. regu"
438,Customer#000000438,"eqo9A9oaE2CA7 7,L",23,33-394-388-4375,al deposits mold alongside of the fluffily brave requests. 
441,Customer#000000441,gjYpcBx6MP8GvDa6,23,33-438-355-3491,r requests wake theodolites. quickly final ideas haggle fluffily. blithely f
477,Customer#000000477,5aW5WHphNgFdIS1Qdp2cIJXG8ER8,23,33-845-877-6997,totes are blithely among the furiously final foxes. slyly 
497,Customer#000000497,0 qRRXAxUbo1J KDwDMjFde5fXDwn ,23,33-937-724-3506,fluffy ideas detect carefully 
514,Customer#000000514,0qD6Nwp3tG3QqCq9qvRAzT6N8L,23,33-194-775-6756,carefully final ideas. quickly final packages are. requests haggle slyly. blithely pending sauternes lose bl
605,Customer#000000605,QAxZ0IXgCzUfNjseQCLfh95HEi,23,33-269-948-8039,ly regular foxes are quickly 
698,Customer#000000698,FLZ2NG5pKHpPtAh,23,33-282-178-6799, sauternes. gifts cajole. slyly pending platelets cajole at the iron
748,Customer#000000748,1 nkl3GMSnweulTNAMPeB8Sa5aSIk,23,33-403-226-2580,nts. special excuses thrash blithe
771,Customer#000000771,"J9UMiYJznHVHZDuCG,ErV0iiMStETS",23,33-761-371-4753,"arefully unusual accounts shall boost unusual pinto beans. ironic, final ideas boost. slyly i"
778,Customer#000000778,tCuRA2W9y5iiGrcT7a4TzK,23,33-702-179-3134,"hely ironic instructions. regular, ironic requests affix along the carefully "
794,Customer#000000794,RMY8 LyGnJ67NGc5cxPYiIDSF,23,33-633-470-5945,gular patterns cajole slyly blithely final ideas? furiously unusual courts wake among 
828,Customer#000000828,"0PkG ELwBIgU4AsNcjDc5Q,9Gj",23,33-108-680-4317,cial instructions. accounts nod special accounts. slowly even deposits belie
830,Customer#000000830,4fNmWCmfys1jUI,23,33-408-548-6806,ironic packages integrate alo
847,Customer#000000847,oR9VbMI LkR2GUv4MRmylhb,23,33-645-447-3944,"haggle carefully. pending, bold foxes play carefully ironic frets: slyly unusual ins"
916,Customer#000000916,9Zo7nkmzJla4Q4PE5mbw,23,33-511-587-8754,sual ideas cajole carefully ironic excuses. final platelets use slyly. quickly special instructions nag. bold escapa
929,Customer#000000929,c dPfaAmmoLjR3m,23,33-487-459-1026,ously silent foxes cajole slyly pe
937,Customer#000000937,usrG6ohdPROyd98c9,23,33-869-990-3946,"ickly alongside of the express, express ideas. sly"
967,Customer#000000967,xKdAl6HSWvAmptzHgQHX3cMmxZDhfyrMqx,23,33-687-917-3598,iously quickly silent ideas. blithely pending pinto beans except t
982,Customer#000000982,EN9aD5Xgh2q,23,33-460-986-9418,lithely express requests along the carefully pendi
985,Customer#000000985,"0uAMe1ICB,wts4STD4eLL",23,33-408-194-5161,gular deposits among the thin instructions haggle since the furiously final packages. ideas use. regular i
1037,Customer#000001037,dwgDZPKR5ZuU3HO2sDOS7Ym0oeC8c6Xm,23,33-855-960-2989,lly final pinto beans. pending instructions boost careful
1059,Customer#000001059,"OHwYMiDjmgeIQXhLlNW,8LIwIEr",23,33-683-418-9460," wake carefully. carefully quick excuses cajole ruthlessly among the ideas. bold, ironic braids are "
1067,Customer#000001067,"g25CH,fhra",23,33-764-123-9568,ackages are furiously carefully even dependencies. idly final
1117,Customer#000001117,80NfzBRWj5tUUaRdnsFE7Eg,23,33-461-439-5684, ironic deposits need to haggle furiously. furiously bold deposits use among the carefully ironic
1186,Customer#000001186,"cj5EeLbJJ6MPdynzposq,Apbj9 2Jm",23,33-500-965-3385,ding realms cajole after the even foxes
1227,Customer#000001227,GiT5IrOJ1zJTZErbFt1Jy6Gj,23,33-468-642-3107,"fily atop the bold, unusual theo"
1230,Customer#000001230,"Pr7yxcRne6NiloD1oR,d28rwVFRnOoTWeYq9",23,33-786-129-3407,ackages cajole furiously quickly pending packages. ironic foxes
1294,Customer#000001294,EZVIKislr4L0PrBP8LShL,23,33-506-204-7796,deas boost bravely final ideas. slyly even pearls are furiously 
1300,Customer#000001300,VmW1dNLVaQY0ud6Csa5WHWuV8,23,33-581-399-6027," x-ray furiously regular deposits. final, silent theodolites are slyly pending ideas. final dependencies"
1305,Customer#000001305,xHgwqc1p0eLf5F8JkE7zvYXPHhIOP5IgLRJgR,23,33-396-634-9150,efully. furiously ironic packages cajole slyly bold requests. quickly ruthless requests alongside of the iro
1313,Customer#000001313,Ax4TI4jbHvaYUaaFuEUQTiMWQvrjez G,23,33-623-834-3089,"ely. carefully pending foxes was furiously special, special "
1323,Customer#000001323,"r9R6okXwQID,",23,33-476-768-7390,uffily even packages. dependencies are. excuses cajole furiously regular foxes. special dep
1348,Customer#000001348,CgtcDDYMnvsgI1uozRj,23,33-360-732-3579,s cajole furiously among the ironic deposits. carefully bold pinto beans wake carefully against the carefully
1372,Customer#000001372,"WiWQk7DyBtI,hfP0CIZ",23,33-563-510-6488,l theodolites. regular ideas are around the furiously iron
1391,Customer#000001391,7MqN5yFijW6Yua7LVU6i7QMjjiyJ2KTZEaQ,23,33-558-545-3053,ges haggle slyly across the carefully pending accounts. slyly regular accounts should sleep. slyly express packages
1395,Customer#000001395,XJoxiYIaBYgEE,23,33-291-909-3901,tions sleep carefully. furiously final requests about the regular excuses a
1441,Customer#000001441,"u0YYZb46w,pwKo5H9vz d6B9zK4BOHhG jx",23,33-681-334-4499,nts haggle quietly quickly final accounts. slyly regular accounts among the sl
1446,Customer#000001446,"p94EVXQW,Q3bhXDyhG1Gp96b5zbaW",23,33-873-120-5388,gle ruthlessly. furiously express dolp
1457,Customer#000001457,qmpteVs7H9WjRow7FDut9a77oFKRDOXxq0JmG,23,33-660-953-7656,"onic accounts nag blithely among the regular, regular pinto beans. carefully regular"
18,Customer#000000018,3txGO AiuFux3zT0Z9NYaFRnZt,6,16-155-215-1315,s sleep. carefully even instructions nag furiously alongside of t
46,Customer#000000046,eaTXWWm10L9,6,16-357-681-2007,"ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa"
50,Customer#000000050,9SzDYlkzxByyJ1QeTI o,6,16-658-112-3221,ts. furiously ironic accounts cajole furiously slyly ironic dinos.
153,Customer#000000153,kDzx11sIjjWJm1,6,16-342-316-2815,promise carefully. unusual deposits x-ray. carefully regular tithes u
204,Customer#000000204,7U7u2KryFP,6,16-761-837-4820,"ages. accounts wake slyly. dolphins nag blithely. final, regular requests haggle blithely furiously even "
271,Customer#000000271,"O,HceV3 XE77Yx",6,16-621-282-5689,ly pending deposits cajole slyly sl
281,Customer#000000281,x5gJ8IGm2Fo9Jigt,6,16-809-382-6446,fully quiet ideas detect quickly even packages. regular instructions accor
